,name,address,locality,phone_number
0,Sentry Management Inc,1414 W Broadway Rd Ste 205,"Tempe, AZ 85282",(480) 345-0046
1,Associated Asset Management,1600 W Broadway Rd Ste 200,"Tempe, AZ 85282",(602) 957-9191
2,Jf Associates,2111 E Broadway Rd Ste 22,"Tempe, AZ 85282",(480) 813-7821
3,A Z Marketplace Realty,2101 E Broadway Rd,"Tempe, AZ 85282",(480) 813-7821
4,Centrado Apartments,2039 E Broadway Rd,"Tempe, AZ 85282",(480) 894-1200
5,Riptide Properties,3303 E Baseline Rd,"Gilbert, AZ 85234",(480) 633-0187
6,Handy Flagstaff,1181 E Melody Ct,"Gilbert, AZ 85234",(480) 813-5714
7,E & G Real Estate Services,1949 E Broadway Rd,"Tempe, AZ 85282",(480) 550-8500
8,Southwest Accommodations Network,28 W Juniper Ave Ste 204,"Gilbert, AZ 85233",(480) 558-1295
9,Heritage Square Apartment Homes,65 E Olive Ave,"Gilbert, AZ 85234",(480) 497-8335
10,McClintock Townhome,1806 E Concorda Dr,"Tempe, AZ 85282",(855) 244-4658
11,Homelogic Real Estate,350 E Elliot Rd,"Chandler, AZ 85225",(480) 346-4111
12,A-Z Real Estate Professionals,207 N Gilbert Rd Bsmt 5,"Gilbert, AZ 85234",(480) 926-4848
13,Vintage Real Estate,207 N Gilbert Rd Bsmt 1,"Gilbert, AZ 85234",(480) 926-0838
14,Mark Toon Remax Alliance Group,725 W Elliot Rd,"Gilbert, AZ 85233",(602) 686-6000
15,Copper Creek Apts,3501 S McClintock Dr,"Tempe, AZ 85282",(480) 897-6458
16,Desert Jewel Apartments,2800 N Arizona Ave,"Chandler, AZ 85225",(480) 632-5735
17,Pfp Tempe Realestate Holdings,3501 S Mcclintock Dr,"Tempe, AZ 85282",(480) 621-7643
18,Willowbrook Apartments,905 S Dorsey Ln Apt 111,"Tempe, AZ 85281",(480) 966-1053
19,Dcp Investors Alt,1260 E University Dr,"Tempe, AZ 85288",(480) 659-1922
20,The Mark Tempe,1115 E Lemon St,"Tempe, AZ 85281",(480) 968-2555
21,Realty Executives International,1400 E Southern Ave Ste 100,"Tempe, AZ 85282",(480) 839-2600
22,Sonoran Title,1400 E Southern Ave Ste 910,"Tempe, AZ 85282",(480) 335-6700
23,The Daniel Montez Real Estate Group,33 N Lindsay Rd Ste 111,"Gilbert, AZ 85234",(480) 269-6060
24,Martins Real Estate Investments,1102 E Bishop Dr,"Tempe, AZ 85282",(480) 862-3580
25,Landmark Apts,929 E Vista Del Cerro Dr,"Tempe, AZ 85281",(480) 921-9330
26,Dow Realty,815 E Warner Rd,"Chandler, AZ 85225",(480) 247-8866
27,Camden Hayden,800 E Curry Rd,"Tempe, AZ 85281",(480) 584-3330
28,Chandler Office Center,1347 N Alma School Rd Ste 150,"Chandler, AZ 85224",(480) 963-0515
29,Tuscany at Chandler Apartments,625 N Alma School Rd,"Chandler, AZ 85224",(480) 917-2929
30,La Mirage Apartments,610 E Gilbert Dr,"Tempe, AZ 85281",(480) 968-2042
31,Licgf Desert Apartments Inc,2101 N Evergreen St,"Chandler, AZ 85225",(480) 899-8686
32,Re/Max Power Realty,91 N Val Vista Dr Ste 102,"Gilbert, AZ 85234",(480) 545-5858
33,Santa Fe,700 E Weber Dr,"Tempe, AZ 85288",(480) 946-5523
34,Homes In Transition,1204 E Baseline Rd Ste 106,"Tempe, AZ 85283",(602) 904-5027
35,Viking Real Estate Investments,4645 S Lakeshore Dr Ste 1,"Tempe, AZ 85282",(480) 622-0322
36,The Lucas Group,3920 S Rural Rd Ste 110,"Tempe, AZ 85282",(480) 598-8800
37,The Vila Real Estate Group,3920 S Rural Rd Ste 110,"Tempe, AZ 85282",(602) 688-9167
38,Synde Murray Real Estate & Financial Consultant,3920 S Rural Rd Ste 110,"Tempe, AZ 85282",(480) 360-3210
39,Realty Executives,4625 S Lakeshore Dr,"Tempe, AZ 85282",(480) 839-3400
40,Sell & Associates Inc,4625 S Lakeshore Dr,"Tempe, AZ 85282",(480) 345-4400
41,Bridgeview Condos at Hayden,140 E Rio Salado Pkwy,"Tempe, AZ 85281",(480) 967-0984
42,Southwest Business Center,4500 S Lakeshore Dr Ste 300,"Tempe, AZ 85282",(480) 345-2828
43,J & F Associates,690 E Warner Rd,"Gilbert, AZ 85296",(480) 813-7821
44,Arden Realty Inc,80 E Rio Salado Pkwy,"Tempe, AZ 85281",(480) 968-3456
45,Omega Residential LLC,60 E Rio Salado Pkwy Ste 900,"Tempe, AZ 85281",(855) 663-4224
46,Free Apartment List,325 E Southern Ave Ste 119,"Tempe, AZ 85282",(480) 966-0440
47,West Six Apartments,111 W 6th St,"Tempe, AZ 85281",(480) 664-6111
48,Dobson Towne Centre Apartments,1817 N Dobson Rd,"Chandler, AZ 85224",(480) 659-2700
49,Granada Lake Apartments,5701 S Rural Rd,"Tempe, AZ 85283",(480) 838-4528
50,Sapphire Realty,1820 E Ray Rd,"Chandler, AZ 85225",(480) 857-1716
51,Golba Realty Group,1820 E Ray Rd,"Chandler, AZ 85225",(480) 503-0700
52,West Fifth Apartments,601 W 5th St,"Tempe, AZ 85281",(480) 656-5411
53,Coyote Sunrise Apartments,210 S Roosevelt St,"Tempe, AZ 85281",(480) 517-9500
54,Occasio Realty,209 E Baseline Rd Ste E106,"Tempe, AZ 85283",(480) 699-1820
55,First Place Realty,741 W University Dr,"Tempe, AZ 85281",(480) 736-1118
56,Sunland North Apartments,2932 E Park Ave,"Gilbert, AZ 85234",(480) 924-4781
57,Premier Locations,123 E Baseline Rd Ste D101,"Tempe, AZ 85283",(480) 897-1220
58,Hidden Glen Apartments,818 W 3rd St,"Tempe, AZ 85281",(480) 968-8183
59,Apartment Finders,1 W Baseline Rd,"Tempe, AZ 85283",(480) 897-7600
60,Southern Manor Apartments,525 W Southern Ave,"Tempe, AZ 85282",(480) 967-9179
61,Nolan Real Estate,615 S Hardy Dr,"Tempe, AZ 85281",(480) 829-9258
62,The Standard Apartment Homes,615 S Hardy Dr,"Tempe, AZ 85281",(480) 968-0101
63,Chamberlain Enterprises,1050 W Washington St,"Tempe, AZ 85288",(602) 275-5951
64,Grandes Cortes Apartments,1150 W University Dr,"Tempe, AZ 85281",(480) 966-4117
65,McFarlane Properties,5235 S Kyrene Rd,"Tempe, AZ 85283",(480) 752-1770
